sesja;id;wtp_delay;wtp_risk;wtp_qual;wtp_legal;wtp_ilegal;PISF;Hip;imp_price;imp_delay;imp_qual;imp_legal;imp_qual;judge_good;judge_comf;judge_wise;judge_attr;judge_legal;judge_friends_ok;piracy_impp_ok;piracy_willing_yes;piracy_tech_diff;freq_cinema;freq_dvd;freq_movie_tv;freq_movie_int;freq_movie_il;sex;age;edu;rok_studiow;exp_count;siblings;pop_origin;income
2;255;-0.606620513058786;-26.1521623533177;4.34122694255579;19.9616935379786;17.4236581122452;0;0;2;3;1;5;4;2;4;3;4;5;4;3;4;1;3;1;3;3;4;2;21;1;3;3;4;1;2
2;256;-1.23850320796035;-18.0279688040263;4.88569480195167;12.2942679319221;12.0116984901456;0;0;1;4;5;3;2;3;5;4;4;2;4;3;3;1;3;3;5;5;3;2;22;1;2;2;2;1;1
2;257;-1.00680656575585;-10.6205155297818;2.25076174562611;6.01414758207195;5.11277521132298;0;0;4;5;2;3;1;3;5;2;5;3;5;3;4;3;4;1;4;6;4;2;25;2;5;1;1;4;6
2;258;-0.420117761701847;-15.5301754038252;1.14280877349453;4.71104614673141;4.97525848115482;0;0;1;4;2;5;3;4;3;4;4;1;5;5;5;1;3;1;4;4;4;2;25;2;2;2;1;5;5
2;259;-1.92056955057371;-20.034577526239;19.7674987563508;56.9165654077946;42.3413225903786;0;0;1;5;4;3;2;3;4;2;3;2;4;3;4;2;4;2;3;5;5;2;23;1;4;2;2;3;5
2;260;-0.841136646650712;-9.63138868656626;3.03777074403633;8.90309436140825;5.99857684213353;0;0;1;4;3;5;2;3;5;3;5;2;3;2;5;1;3;1;5;4;1;1;21;1;2;0;2;1;4
2;261;-0.939385370691386;-14.7123356159612;5.72115877172492;33.0940467262527;30.070159046296;0;0;1;5;3;4;2;4;4;2;4;2;4;5;5;1;3;1;1;1;5;1;23;2;5;3;2;3;5
2;262;-3.35159226078446;-14.2258525935406;18.2818640367387;28.8975683204095;26.8899796732666;0;0;1;4;3;5;2;5;5;5;5;1;5;5;5;1;3;1;4;1;4;1;23;1;5;6;1;2;5
2;263;-3.45702114783628;-8.92568235221809;15.3523930197484;39.219473218887;38.3936532851719;0;0;2;4;3;5;1;4;5;4;5;4;5;5;5;3;2;1;3;1;5;1;19;1;1;1;0;5;5
2;264;-1.09163883113769;-10.6584950093114;3.36065977593631;24.4014622274335;25.3547346674681;0;0;1;3;4;5;2;3;5;4;4;3;5;3;4;1;4;1;2;3;5;2;25;3;7;2;0;5;1
2;266;-2.43635928514616;-13.6462050664808;18.5285526250959;42.7090680012107;31.2985760640806;0;0;1;5;2;4;3;2;5;5;5;2;5;2;5;1;2;1;3;1;4;1;22;1;2;1;1;2;5
