market_value;age;height;weight;goals_CL;goals_UEFA;goals_cups;goals_top5l;goals_rest;goals_nat;app_nat;games_start;subs;assists;shots_tot;shots_on_gs;top_spa;top_ita;top_eng;top_ger;top_fra;rank;popularity;name
3.0;34;178;76;0;0;1;47;0;2;14;97;28;7;263;96;0;0;0;0;0;238;0.654;di vaio
7.5;31;180;74;5;5;4;57;0;29;67;151;21;20;466;185;0;0;0;0;0;1745;2.36;mutu
19.0;28;184;79;11;1;0;70;0;17;45;198;45;18;356;154;0;0;0;0;0;59;2.46;gilardino
17.5;21;183;79;4;0;0;8;0;6;11;58;20;9;192;63;0;0;0;0;0;698;0.165;jovetic
6.2;24;183;76;0;0;0;15;0;7;35;37;44;2;79;24;0;0;0;0;0;1151;0.118;bojinov
2.0;35;184;78;4;2;1;36;0;35;64;106;60;13;197;85;0;0;0;0;0;592;19.5;crespo
1.0;33;191;82;0;0;1;23;0;12;57;113;44;4;121;46;0;0;0;0;0;1116;0.144;bogdani
2.3;30;185;80;0;3;2;29;0;0;6;61;43;6;128;52;0;0;0;0;0;1828;0.117;budan
4.0;27;180;73;0;0;0;11;0;0;1;33;21;5;180;64;0;0;0;0;0;763;0.693;diamanti
4.5;29;194;80;0;2;2;15;0;0;2;67;21;0;77;31;0;0;0;0;0;1055;0.361;carraccioli
0.6;34;171;72;0;1;1;29;0;0;6;105;34;10;208;70;0;0;0;0;0;1116;3.91;di michel
1.5;27;180;78;0;0;2;4;4;0;18;41;35;3;47;15;0;0;0;0;0;1170;7.02;oliveira
1.5;30;183;79;0;0;0;10;0;7;21;13;34;5;87;30;0;0;0;0;0;1809;0.335;chevanton
1.4;30;183;83;0;0;0;4;0;13;52;55;53;1;20;8;0;0;0;0;0;1603;0.039;kutuzov
8.0;25;171;59;1;2;2;24;0;0;0;62;28;9;69;32;0;0;0;0;0;596;0.435;baretto
14.0;26;187;83;0;0;4;19;0;4;10;33;3;5;108;56;0;0;0;0;0;6;5.14;barrios
6.5;22;186;72;0;0;0;5;6;0;3;53;13;9;88;36;0;0;0;0;0;148;0.144;Gro§kreutz
6.0;22;184;78;0;1;0;0;1;10;30;7;6;1;9;3;0;0;0;0;0;1581;0.843;lewandowski
4.5;29;172;71;0;1;2;38;0;9;35;92;50;12;155;52;0;0;0;0;0;1587;6.21;zidan
10.0;22;191;83;0;0;2;12;13;2;30;66;33;6;121;48;0;0;0;0;0;515;0.315;dedriyok
14.0;27;191;78;0;0;1;51;0;0;6;124;14;17;315;135;0;0;0;0;0;636;0.561;kiessling
1.5;27;180;68;0;0;1;15;0;0;3;63;20;9;71;29;0;0;0;0;0;1657;0.131;Schlaufdry
6.0;27;174;74;0;0;0;9;0;1;4;24;6;2;78;39;0;0;0;0;0;369;0.748;Ya Konan
7.0;32;182;74;12;7;4;61;0;59;106;205;36;35;383;169;0;0;0;1;0;1274;1.44;Klose
26.0;25;189;88;4;8;7;74;0;14;41;145;62;24;439;169;0;0;0;0;0;13;10.8;Gomez
8.5;31;182;85;8;0;7;40;0;13;68;106;23;13;312;141;0;0;0;0;0;475;0.771;olic
8.0;20;183;74;0;0;0;5;0;0;1;25;9;2;38;18;0;0;0;0;0;384;0.024;schurle
3.0;23;193;82;0;0;0;1;0;4;6;8;7;1;69;8;0;0;0;0;0;791;0.371;szalai
3.0;24;184;77;0;0;2;0;27;2;8;75;11;9;202;93;0;0;0;0;0;1431;0.106;allagui
1.25;27;185;83;0;0;0;18;8;0;0;84;35;12;215;77;0;0;0;0;0;1511;0.246;eigler
5.5;22;186;83;0;0;1;3;0;0;0;7;33;1;56;23;0;0;0;0;0;592;1.16;schieben
6.0;34;188;80;15;0;1;72;0;34;68;146;19;18;351;192;1;0;0;0;0;120;2.17;nisterlooy
15.0;24;176;70;0;2;3;5;16;2;18;130;39;14;50;24;0;0;0;0;0;1421;0.266;elia
