ID_resp;sex;age;edugroup;forpleas;forentert;forrest;forcontart;forposh;forestet;formovm;forsocial;forchild;forticket
857;1;3;3;4;2;3;3;3;4;4;2;1;1
858;2;2;3;4;4;4;4;3;3;3;3;3;1
859;1;3;3;4;4;4;2;3;3;4;2;1;1
862;2;4;2;4;4;4;2;3;4;4;1;2;1
864;2;3;2;4;4;4;2;2;4;3;3;1;1
865;1;2;2;4;3;4;3;4;4;4;2;1;1
882;2;2;2;4;3;4;3;3;3;3;3;1;2
887;1;3;3;3;4;4;2;2;4;4;4;2;1
888;2;3;2;4;4;4;3;4;3;4;4;3;2
896;1;2;3;4;3;4;3;3;2;4;3;1;3
897;2;3;3;4;4;4;2;3;4;4;3;1;1
898;2;2;3;3;1;1;4;1;3;2;2;2;4
901;1;2;3;1;2;2;2;3;1;3;2;2;2
905;2;2;3;4;3;3;3;3;3;3;3;3;2
907;2;2;3;4;4;4;3;3;3;4;4;4;3
913;2;3;3;1;3;3;3;1;4;3;2;1;2
916;2;3;2;3;3;3;2;3;3;3;3;1;2
917;1;1;3;4;4;4;3;3;4;4;2;1;2
919;1;3;3;3;3;3;3;3;3;3;2;2;2
922;2;3;3;4;4;4;2;2;4;4;3;2;1
925;1;2;2;2;2;2;2;2;2;3;2;4;2
927;1;3;3;3;3;2;3;3;3;3;2;3;3
931;2;3;3;4;4;4;4;4;4;4;4;4;4
938;1;3;3;4;4;3;3;3;4;4;1;3;1
939;2;3;3;4;4;4;4;4;4;4;4;4;4
946;2;4;2;4;4;4;3;3;3;4;2;2;1
949;1;3;3;4;4;4;2;2;2;3;2;3;2
950;2;2;2;3;3;3;3;3;3;3;3;1;2
952;1;2;3;4;4;4;4;2;3;3;2;3;2
960;1;2;3;4;4;4;4;4;4;4;4;4;1
963;1;4;2;4;3;3;3;3;4;4;2;2;2
964;1;3;2;4;4;4;3;3;4;4;3;2;1
966;2;2;3;4;4;4;3;3;4;3;1;1;1
970;1;2;3;4;4;4;3;3;3;4;3;3;2
972;1;2;3;4;4;4;2;2;3;3;2;2;2
976;1;2;3;4;4;3;3;2;3;3;2;1;1
979;2;2;3;3;3;3;3;3;3;3;3;3;3
983;2;3;3;4;4;4;3;3;4;4;3;3;2
994;1;2;3;4;4;4;4;3;4;4;2;1;1
998;2;2;3;4;4;4;3;2;3;4;2;2;2
999;2;4;3;4;3;3;3;4;4;4;3;2;2
1003;1;2;2;3;3;2;3;2;3;3;2;2;2
1004;2;2;2;4;4;4;4;4;4;4;4;2;4
1005;2;3;3;4;3;4;3;3;3;4;4;3;1
1006;1;1;2;3;3;2;2;3;4;2;1;1;1
1008;2;2;3;4;4;4;4;3;4;4;4;3;3
1013;1;2;1;2;3;3;3;3;4;4;2;3;4
1015;1;2;2;4;4;4;4;3;4;3;4;1;1
1021;1;3;3;3;3;3;3;3;4;4;2;2;2
1033;2;2;2;4;3;3;3;3;4;4;2;1;1
1035;2;2;3;4;4;4;4;4;3;4;3;4;2
1037;2;3;3;4;4;4;3;4;4;4;4;2;2
1039;2;2;3;4;4;4;3;4;4;4;2;2;2
1040;1;3;3;3;3;2;1;3;4;3;2;1;2
1041;2;3;2;4;4;4;4;4;4;4;4;4;2
1042;2;3;2;3;3;3;4;3;3;2;3;3;4
1046;1;2;2;4;4;4;4;4;4;4;3;2;2
1050;2;2;2;3;3;3;3;3;2;4;3;4;4
1054;1;3;2;3;3;3;3;3;3;3;3;3;2
1056;1;3;3;3;4;4;3;2;3;4;2;2;3
1057;2;4;2;4;4;3;3;4;4;4;2;1;1
1058;2;2;3;4;3;3;2;3;4;3;1;1;2
1061;1;3;3;3;4;3;2;2;3;3;3;4;1
1064;2;2;3;4;4;4;4;4;4;4;2;4;2
1065;1;3;2;4;3;4;3;3;4;3;3;1;2
1066;1;4;3;3;4;2;2;3;4;3;1;1;1
1069;2;3;3;4;4;3;3;3;4;3;3;2;1
1070;1;1;2;1;3;3;2;2;4;1;4;3;2
1073;2;2;2;4;4;3;2;3;4;3;3;4;2
1086;2;3;2;4;3;3;2;3;4;3;3;4;1
1089;1;2;2;4;4;3;2;2;3;3;2;4;2
1090;1;1;2;4;4;4;2;2;3;4;3;1;4
1093;1;2;2;4;3;3;2;2;3;3;2;1;3
1094;2;3;2;4;4;4;4;4;3;4;3;3;1
1095;2;3;2;3;3;3;3;3;3;3;3;1;2
1098;2;3;2;3;3;3;3;3;3;3;3;3;2
1099;2;4;2;3;3;3;3;3;2;3;3;3;1
1105;1;2;2;4;4;4;1;1;1;3;1;3;1
1106;1;2;1;4;4;4;3;4;4;4;4;4;1
1107;1;2;2;4;4;4;4;1;2;3;4;1;1
1108;1;2;2;4;4;4;2;3;3;4;3;1;2
1110;2;4;2;4;3;4;2;3;4;4;3;1;1
1120;2;2;2;4;4;3;4;3;3;4;3;1;2
1122;2;3;2;3;3;3;3;3;3;3;3;3;2
1123;2;2;2;4;4;4;3;2;4;4;2;4;2
1130;1;1;2;4;3;3;3;4;3;4;3;1;2
1131;2;1;2;4;4;4;3;4;3;3;3;1;1
1132;1;1;2;4;4;2;1;3;4;3;2;1;2
1138;1;1;1;4;4;4;4;4;3;3;1;1;3
1141;2;1;2;3;3;2;1;2;2;3;3;1;1
1143;1;2;2;4;4;4;2;4;4;4;4;1;3
1144;1;2;2;4;3;3;4;4;3;3;3;3;2
1145;2;2;2;4;4;4;4;4;4;4;2;4;2
1146;2;1;2;3;3;3;3;3;3;3;3;1;1
1149;2;1;2;4;4;4;4;4;4;4;4;1;1
1152;2;3;2;4;4;4;4;3;4;4;4;2;4
1153;2;2;2;3;4;3;3;3;3;4;2;3;4
1160;2;1;2;3;3;3;3;4;4;3;2;2;1
1162;2;2;2;4;4;4;3;3;3;3;3;1;2
1164;2;2;2;4;4;4;4;4;4;4;4;4;2
1166;2;1;2;4;4;3;2;3;3;2;3;1;1
1172;2;2;2;4;4;4;1;2;3;3;2;1;4
