rank_priv;rank_in;rank_out;name;state;admit_rate;grad_rate;total_cost_in;cost_based_in;total_cost_out;cost_based_out;avg_dept;salary;public;per_non_need;avg_non_need
25;;;Trinity University;TX;48;72;;;51218;25409;35318;53200;0;81;16583
26;;;University of Southern California;CA;18;76;;;65632;34976;28541;66100;0;27;19014
27;;;Clark University;MA;54;72;;;50940;25114;24990;44100;0;68;16362
28;;;University of Rochester;NY;36;73;;;63966;28890;30604;55500;0;53;13617
29;;;Elon University;NC;54;76;;;44070;30348;27176;44500;0;28;6603
30;;;Santa Clara University;CA;49;78;;;60489;37334;26759;67700;0;43;13120
31;;;Bentley University;MA;46;83;;;59805;30780;30602;74900;0;33;16761
32;;;Yeshiva University;NY;82;59;;;52004;25772;24101;55600;0;36;21840
33;;;Creighton University;NE;73;71;;;47916;25251;33428;57800;0;68;14200
34;;;Brandeis University;MA;35;85;;;64454;32178;28855;58800;0;10;17895
35;;;Villanova University;PA;49;85;;;61273;31644;35122;73700;0;11;14067
36;;;Drake University;IA;69;70;;;44392;27723;31546;55700;0;72;12889
37;;;University of Miami;FL;38;69;;;59720;33770;26793;52400;0;35;18846
38;;;George Washington University;DC;44;72;;;63760;33843;31128;64500;0;36;18756
39;;;Case Western Reserve University;OH;38;64;;;59610;32627;33343;67000;0;61;22087
40;;;Drury University;MO;81;46;;;34495;19508;25336;32200;0;77;8263
41;;;Pepperdine University;CA;35;75;;;63652;26359;31884;61400;0;31;18974
42;;;Gonzaga University;WA;68;73;;;49917;30612;29513;52800;0;87;12083
43;;;Emerson College;MA;49;77;;;57752;40612;23606;44800;0;18;14675
44;;;Stevens Institute of Technology;NJ;44;40;;;61690;48382;26722;82800;0;78;17765
45;;;Franciscan University of Steubenville;OH;78;61;;;34280;24292;32443;35500;0;55;5438
46;;;Carnegie Mellon University;PA;25;72;;;65895;35827;31905;72000;0;6;10867
47;;;Boston University;MA;35;80;;;63956;34102;39166;60600;0;11;17594
48;;;Tulane University;LA;28;70;;;64022;35789;31653;52400;0;37;21325
49;;;Samford University;AL;82;48;;;38770;24724;26543;45800;0;67;9636
50;;;Butler University;IN;68;62;;;50065;31361;35797;52400;0;82;11979
51;;;University of Portland;OR;63;73;;;53112;31131;26557;51700;0;83;14965
52;;;American University;DC;46;76;;;58257;35500;32546;55900;0;21;13989
53;;;New York University;NY;35;72;;;66400;42154;27977;58800;0;9;7512
54;;;University of Tulsa;OK;40;52;;;51401;45539;29161;43200;0;64;17829
55;;;University of Dayton;OH;59;59;;;52280;31772;35278;52300;0;63;12540
56;;;Maryville University of Saint Louis;MO;72;49;;;38998;24675;31696;44500;0;32;9559
57;;;Marist College;NY;39;68;;;49000;33553;34801;54400;0;46;7619
58;;;Saint Louis University;MO;60;61;;;51066;30775;35615;55200;0;52;13880
59;;;Illinois Institute of Technology;IL;51;28;;;56066;27804;31907;68200;0;65;19854
60;;;Marquette University;WI;67;59;;;49398;31616;35211;55600;0;83;10294
61;;;University of Denver;CO;76;66;;;57620;29023;29050;51400;0;58;14724
62;;;Simmons College;MA;52;67;;;52700;29064;26000;51400;0;49;14030
63;;;Oklahoma City University;OK;66;49;;;41908;25826;27819;39400;0;50;18931
64;;;Whitworth University;WA;75;65;;;50698;27724;26132;41200;0;78;16897
65;;;Mercer University;GA;67;50;;;47110;23067;30018;46600;0;74;19145
66;;;University of San Diego;CA;46;67;;;58392;33954;30225;56300;0;27;14025
67;;;Bradley University;IL;64;51;;;42380;27364;27277;52400;0;70;10012
68;;;Union University;TN;69;59;;;39880;33994;29187;37400;0;32;12889
69;;;Providence College;RI;63;83;;;59730;36870;32475;59600;0;31;20050
70;;;Rockhurst University;MO;77;62;;;45890;42681;24971;47600;0;20;20636
71;;;Duquesne University;PA;73;65;;;46596;28537;34522;54300;0;76;10804
72;;;Loyola Marymount University;CA;53;69;;;58663;39261;30243;55600;0;50;9432
73;;;Belmont University;TN;83;56;;;40970;28874;28306;39100;0;32;7438
74;;;Southern Methodist University;TX;52;67;;;64765;45091;34671;52200;0;49;20479
75;;;Loyola University Chicago;IL;63;65;;;54936;36061;31089;50600;0;52;13220
76;;;LeTourneau University;TX;49;35;;;39030;23908;38211;50000;0;15;8037
77;;;Clarkson University;NY;62;58;;;59890;30711;28000;68400;0;74;19191
78;;;Geneva College;PA;71;53;;;36080;20891;32673;37500;0;40;9952
79;;;Rensselaer Polytechnic Institute;NY;38;61;;;66172;37645;41814;81700;0;70;15860
80;;;Rochester Institute of Technology;NY;57;30;;;49564;30564;26000;56900;0;38;10000
81;;;Fairfield University;CT;72;77;;;59545;43863;27918;69000;0;55;15452
82;;;Syracuse University;NY;53;69;;;59610;32840;34584;56600;0;21;10290
83;;;Fordham University;NY;48;75;;;64679;40796;35170;55400;0;44;14594
84;;;Valparaiso University;IN;82;60;;;47880;25447;35449;48100;0;62;13003
85;;;Seattle Pacific University;WA;83;60;;;48480;22533;28844;43900;0;66;20277
86;;;Saint Michael's College;VT;80;73;;;53005;31006;36967;46300;0;64;14525
87;;;University of St. Thomas;MN;87;60;;;48525;30173;37131;54300;0;24;15098
88;;;Centenary College of Louisiana;LA;66;42;;;47450;25541;27692;39300;0;98;15863
89;;;Loyola University Maryland;MD;60;77;;;59925;37360;34190;62100;0;27;14675
90;;;University of Evansville;IN;83;53;;;45386;22608;29441;40000;0;60;17045
91;;;Baldwin Wallace University;OH;64;51;;;39792;23591;32526;44000;0;48;12080
92;;;Chapman University;CA;47;58;;;62650;46808;27979;51800;0;44;17071
93;;;Howard University;DC;48;42;;;40784;33493;32071;46500;0;25;24835
94;;;Lipscomb University;TN;56;45;;;41156;37357;30480;39000;0;61;13435
95;;;St. John Fisher College;NY;68;61;;;43250;28190;32982;44800;0;76;10061
96;;;St. Bonaventure University;NY;70;55;;;43317;24418;35627;45200;0;91;12572
97;;;Rollins College;FL;57;63;;;59914;33279;26689;42200;0;55;19134
98;;;Bethel University;MN;95;63;;;45060;26843;33685;44000;0;49;10497
99;;;Nazareth College of Rochester;NY;70;65;;;45803;30476;35396;43900;0;70;15594
100;;;Xavier University;OH;73;63;;;47460;31715;34365;48800;0;69;13774
